RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player?s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
,Isaiah Roby,Okc,F,22.95,8,17.8,37.1,17.9,15.5,16,0.563,30,0.7,12,0.417,0.679,0.673,8.3,4.6,13.3,0.9,8,0.13,0.5,1.13,7.3,120.8,102.2
,Derrick Rose,Det,G,32.28,8,23.6,49.2,29.9,14.3,28,0.821,81,0.432,21,0.286,0.431,0.485,13.9,2,4.5,5.4,40.4,1,0.38,2.38,9,100.2,111.3
,Collin Sexton,Cle,G,22.03,8,37.3,77.8,26.2,9.5,35,0.829,116,0.534,31,0.516,0.585,0.619,25.1,2.1,3.1,3.5,17.8,1.38,0.25,2.13,6.1,117.7,104.8
,Anfernee Simons,Por,G,21.61,9,10.3,21.4,21.6,6.4,6,0.667,10,0.3,31,0.323,0.439,0.458,4.4,1.7,8.6,0.6,7.8,0.11,0.22,0.33,6.4,92.3,106.8
,Lamar Stevens,Cle,F,20,8,13.5,28,15.6,7.8,8,0.75,26,0.462,6,0.167,0.422,0.465,4.1,1.9,7.6,0.4,4.2,0.5,0,0.38,4.3,94.9,105.7
,Jeff Teague,Bos,G,32.6,8,19.9,41.4,18.3,11.6,16,0.813,41,0.268,13,0.538,0.398,0.459,7,2.6,7.3,2.6,17.1,1.63,0.25,1,7.3,103.8,104.7
,Tristan Thompson,Bos,C-F,29.84,8,23.1,48.1,16,14.3,20,0.65,51,0.529,0,0,0.529,0.56,8.4,8.5,20.4,0.8,4.4,0.25,0.75,1.25,6.7,115.4,102
,Denzel Valentine,Chi,G,27.17,8,18.7,38.9,14.7,7.6,2,1,18,0.5,30,0.433,0.594,0.604,7.4,4.3,12.7,1.6,12,1,0.13,0.5,7.9,120.4,112.7
,Robert Williams III,Bos,C-F,23.25,8,16.3,34,14.6,24.4,7,0.857,30,0.8,1,0,0.774,0.792,6.8,6.5,22.1,0.6,5.4,1.13,1.5,1.38,7.3,130.3,102.4
,Grant Williams,Bos,F,22.13,8,19.2,39.9,13.8,13.9,5,0.4,24,0.458,17,0.412,0.524,0.521,5.6,3.8,10.8,0.8,5.1,0.63,0.63,0.88,5.4,105.7,98.4
,Christian Wood,Hou,F,25.3,9,33.1,68.9,28,8.9,38,0.658,114,0.605,44,0.341,0.579,0.595,23.1,10.1,16.6,1.2,6.8,0.67,1.78,1.89,7.9,112.7,104.2
,Aron Baynes,Tor,C-F,34.1,8,17.8,37.1,15.8,11.3,0,0,30,0.5,17,0.176,0.415,0.415,4.9,5.1,15.4,0.5,4,0.13,0,0.75,5.2,89.9,101.6
,Avery Bradley,Mia,G,30.14,7,22.8,47.5,16.3,8.3,9,0.778,22,0.545,29,0.448,0.618,0.637,10,1.9,4.5,1.7,11.2,0.86,0.14,0.71,5.6,119.8,103.2
,Troy Brown Jr.,Was,G-F,21.47,7,17.6,36.7,12.1,13.8,3,0,12,0.583,18,0.333,0.533,0.511,4.6,3.1,9.6,1.1,8,0.29,0.14,0.71,5.7,100.9,107.5
,Michael Carter-Williams,Orl,G,29.27,7,22.8,47.5,14.7,16.2,6,0.833,32,0.438,12,0.083,0.352,0.386,5.1,5.1,11.7,1.7,10.2,0.57,0.57,1.29,6.2,89.4,100.8
,DeMarcus Cousins,Hou,C,30.43,8,14.1,29.3,27.4,14.1,18,0.722,28,0.357,25,0.32,0.415,0.468,7.1,5.9,22.7,1.6,17.3,0.75,1,1.25,11.5,97.3,93.6
,Terence Davis,Tor,G,23.67,7,12.2,25.4,23.6,12.7,5,1,17,0.529,22,0.409,0.577,0.607,7.1,1.6,6.9,1.1,15.4,0.43,0.14,0.86,7.6,111.1,105.6
,Bruno Fernando,Atl,F-C,22.42,7,12.2,25.5,11.7,37.2,5,0.4,11,0.455,2,0,0.385,0.395,1.7,5.1,21.3,0.9,9.2,0.29,0.14,1.29,6.5,78.7,96.6
,Harry Giles III,Por,F-C,22.74,8,7.9,16.5,16.6,20.3,6,0.667,13,0.385,4,0.5,0.471,0.509,2.5,3.1,21,0.5,8.7,0.5,0.63,0.63,8,94.7,84.3
,Eric Gordon,Hou,G,32.06,7,25.6,53.4,23.2,11.5,20,0.9,22,0.773,54,0.296,0.539,0.59,14.3,2.1,4.5,1.6,9.5,1,0.86,1.57,5.7,109.3,108.5
,Draymond Green,Gol,F,30.87,8,26.9,56,11.3,32.5,17,0.647,17,0.353,15,0.2,0.328,0.405,4,5,9.6,6.6,31.7,1.25,0.25,2.38,7.6,93.6,100.2
,JaMychal Green,Den,F-C,30.57,8,21.5,44.9,21.7,18.6,14,0.714,28,0.5,36,0.528,0.664,0.677,11.9,6.8,18.3,1.1,7.6,0.5,0,2,8.3,114.9,103.2
,Rui Hachimura,Was,F,22.93,7,27.7,57.6,18.5,5.7,28,0.75,57,0.544,13,0.308,0.529,0.577,13.6,4.6,8.9,2.3,11.3,0.57,0.14,0.71,7.6,119.8,110
,Killian Hayes,Det,G,20,7,21.1,44,18.4,26.6,2,0.5,26,0.308,20,0.25,0.337,0.341,4.6,1.1,2.9,3.6,24.5,0.29,0,2.43,5,69.9,109
,Kyrie Irving,Bro,G,28.81,7,33,68.7,30.5,9.1,22,1,80,0.563,61,0.426,0.596,0.63,27.1,5.3,8.4,6.1,32.2,1.57,0.29,2.14,11.6,124,103.9
